outside_rho,outside_phi
1033148.8360226392,-7.624285018920328e-05
1033148.876941135,-7.62428449627091e-05
1033149.2861260936,-7.6242792697809e-05
1033153.3779756791,-7.62422700529756e-05
1033194.2964715344,-7.6237044021373e-05
1033603.4814300874,-7.618482534269111e-05
1037695.3310156168,-7.566676681173382e-05
1078613.8268709108,-7.086647320485714e-05
1487798.7854238513,-4.366696820841383e-05
2090342.6806770444,-2.783132732302651e-05
3213679.5237055277,-1.631944229787672e-05
5189078.680898955,-9.06540982338904e-06
8853247.860398559,-4.527887589037826e-06
10000000.0,-3.811726915467903e-06
